Search keyword report
"May 13, 2026 - June 11, 2026"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Currency code,Max. CPC,Cost,Clicks,Impr.,CTR,Avg. CPC,Search lost IS (rank),Final URL,Conv. rate,Conv. value,Conv. value / cost,Conversions,Cost / conv.,Original conv. value
Enabled,"""readerboard letters""",Phrase match,CL00 | Search | Marquee Letters,Ad group 1,Eligible,,USD, --,54.63,14,131,10.69%,3.90,60.10%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,"""metal church letters""",Phrase match,CL00 | Search | Marquee Letters,Ad group 1,Eligible,,USD, --,0.00,0,3,0.00%,0,66.67%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,"""wagner zip change""",Phrase match,CL00 | Search | Marquee Letters,Ad group 1,Eligible,,USD, --,17.33,4,23,17.39%,4.33,6.67%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,"""marquee sign letters""",Phrase match,CL00 | Search | Marquee Letters,Ad group 1,Eligible,,USD, --,47.20,14,273,5.13%,3.37,71.08%,,7.14%,1.00,0.02,1.00,47.20,1.00
Enabled,"""letters for reader boards""",Phrase match,CL00 | Search | Marquee Letters,Ad group 1,Eligible,,USD, --,1.06,1,15,6.67%,1.06,35.09%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,"""reader board letters""",Phrase match,CL00 | Search | Marquee Letters,Ad group 1,Eligible,,USD, --,73.64,15,140,10.71%,4.91,42.93%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[business signs for outside],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.31,1,3,33.33%,0.31,25.86%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[pvc letters],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,0, --,0,25.00%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[storefront signs],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.65,1,3,33.33%,0.65,24.11%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[commercial signage],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,1.35,2,12,16.67%,0.68,23.66%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[acrylic sign letters],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,10,0.00%,0,17.14%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[molded letters],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,1,0.00%,0,0.00%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[store signs],Exact match,Building Letters | Search,Building Letters,Limited,low quality,USD, --,4.28,4,16,25.00%,1.07,23.00%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[formed plastic letters],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,0, --,0,25.00%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[bronze letters],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,5,0.00%,0,0.00%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[building signage],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,3,0.00%,0,22.97%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[building letters],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,1,0.00%,0,12.50%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[custom building letters],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,3,0.00%,0,14.81%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[outdoor building signs for business],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,4,0.00%,0,22.06%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[plastic sign letters],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,1,0.00%,0,18.75%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[exterior business signs],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,4.21,3,14,21.43%,1.40,23.53%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[metal building letters],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,2,0.00%,0,16.67%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[commercial building numbers],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,1.31,1,3,33.33%,1.31,0.00%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[aluminum letters],Exact match,Building Letters | Search,Building Letters,Limited,low quality,USD, --,0.00,0,2,0.00%,0,21.82%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[business signs for building],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,4,0.00%,0,22.55%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[exterior 3d letters],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,1.65,1,3,33.33%,1.65,15.00%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[gemini letters],Exact match,Building Letters | Search,Building Letters,Limited,low quality,USD, --,0.00,0,1,0.00%,0,24.04%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[sign letters outdoor],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,2,0.00%,0,18.75%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[metal letters],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,1.19,1,28,3.57%,1.19,17.07%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[Cast Metal Sign Letters],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,2,0.00%,0,12.50%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[metal lettering],Exact match,Building Letters | Search,Building Letters,Limited,low quality,USD, --,0.00,0,15,0.00%,0,17.76%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[building address signs],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,2.89,2,26,7.69%,1.44,23.80%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[acrylic building letters],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,1.62,1,17,5.88%,1.62,16.28%,,0.00%,0.00,0.00,0.00,0.00,0.00
Paused,"""foam letters""",Phrase match,Building Letters | Search,Building Letters,Paused,paused; low quality,USD, --,0.00,0,1,0.00%,0,48.98%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[minnesota letters],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,0, --,0, --,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[building sign letters],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,7.62,4,22,18.18%,1.90,29.41%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[outdoor sign letters],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,10,0.00%,0,9.62%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[outdoor wall letters for business],Exact match,Building Letters | Search,Building Letters,Not eligible,rarely served,USD, --,0.00,0,0, --,0, --,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[building number signs],Exact match,Building Letters | Search,Building Letters,Limited,low quality,USD, --,2.68,2,18,11.11%,1.34,22.04%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[storefront sign letters],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,1,0.00%,0,20.83%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[large outdoor signs for business],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,4,0.00%,0,19.35%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[display letters],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,0, --,0, --,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[lobby letters],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,0, --,0, --,,0.00%,0.00,0.00,0.00,0.00,0.00
Paused,"""building block letters""",Phrase match,Building Letters | Search,Building Letters,Paused,paused,USD, --,0.00,0,0, --,0,> 90%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[signs for buildings],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,0, --,0,25.00%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[plastic letters],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,0, --,0,25.00%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[building numbers],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,4,0.00%,0,19.44%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[3D letters],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,21,0.00%,0,22.47%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[brass letters],Exact match,Building Letters | Search,Building Letters,Limited,low quality,USD, --,1.72,1,6,16.67%,1.72,4.17%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[injection molded letters],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,0, --,0, --,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[plastic building letters],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,1.70,1,3,33.33%,1.70,14.29%,,0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,[cast letters],Exact match,Building Letters | Search,Building Letters,Eligible,,USD, --,0.00,0,0, --,0, --,,0.00%,0.00,0.00,0.00,0.00,0.00
